timestamp,pid,cpu_percent,memory_percent,rss_kb,command
2026-08-16T13:52:56+0700,83717,7.9,0.3,56176,/opt/homebrew/bin/node server.js
2026-08-16T13:52:57+0700,83717,9.5,0.3,52896,/opt/homebrew/bin/node server.js
2026-08-16T13:52:58+0700,83717,13.3,0.3,52880,/opt/homebrew/bin/node server.js
2026-08-16T13:52:59+0700,83717,20.6,0.3,58288,/opt/homebrew/bin/node server.js
2026-08-16T13:53:00+0700,83717,17.5,0.4,58832,/opt/homebrew/bin/node server.js
2026-08-16T13:53:01+0700,83717,15.9,0.3,51392,/opt/homebrew/bin/node server.js
2026-08-16T13:53:02+0700,83717,15.9,0.4,64016,/opt/homebrew/bin/node server.js
2026-08-16T13:53:03+0700,83717,14.8,0.4,63632,/opt/homebrew/bin/node server.js
2026-08-16T13:53:04+0700,83717,14.1,0.3,58688,/opt/homebrew/bin/node server.js
2026-08-16T13:53:05+0700,83717,9.4,0.3,56272,/opt/homebrew/bin/node server.js
2026-08-16T13:53:06+0700,83717,11.8,0.3,58720,/opt/homebrew/bin/node server.js
2026-08-16T13:53:07+0700,83717,12.5,0.3,57600,/opt/homebrew/bin/node server.js
2026-08-16T13:53:08+0700,83717,9.3,0.4,60896,/opt/homebrew/bin/node server.js
2026-08-16T13:53:09+0700,83717,10.5,0.4,61520,/opt/homebrew/bin/node server.js
2026-08-16T13:53:10+0700,83717,8.7,0.4,61728,/opt/homebrew/bin/node server.js
2026-08-16T13:53:11+0700,83717,8.4,0.4,64480,/opt/homebrew/bin/node server.js
2026-08-16T13:53:12+0700,83717,9.3,0.4,65280,/opt/homebrew/bin/node server.js
2026-08-16T13:53:14+0700,83717,14.4,0.4,59952,/opt/homebrew/bin/node server.js
2026-08-16T13:53:15+0700,83717,11.2,0.3,52960,/opt/homebrew/bin/node server.js
2026-08-16T13:53:16+0700,83717,9.2,0.3,50176,/opt/homebrew/bin/node server.js
2026-08-16T13:53:17+0700,83717,6.5,0.3,54256,/opt/homebrew/bin/node server.js
2026-08-16T13:53:18+0700,83717,8.4,0.3,58128,/opt/homebrew/bin/node server.js
2026-08-16T13:53:19+0700,83717,5.4,0.4,62464,/opt/homebrew/bin/node server.js
2026-08-16T13:53:20+0700,83717,9.7,0.3,55808,/opt/homebrew/bin/node server.js
2026-08-16T13:53:21+0700,83717,11.7,0.3,55216,/opt/homebrew/bin/node server.js
2026-08-16T13:53:22+0700,83717,9.2,0.3,56624,/opt/homebrew/bin/node server.js
2026-08-16T13:53:23+0700,83717,7.2,0.3,58176,/opt/homebrew/bin/node server.js
2026-08-16T13:53:24+0700,83717,5.8,0.4,63280,/opt/homebrew/bin/node server.js
2026-08-16T13:53:25+0700,83717,3.9,0.4,65056,/opt/homebrew/bin/node server.js
2026-08-16T13:53:26+0700,83717,3.9,0.4,65936,/opt/homebrew/bin/node server.js
2026-08-16T13:53:27+0700,83717,3.9,0.4,62160,/opt/homebrew/bin/node server.js
2026-08-16T13:53:28+0700,83717,3.1,0.4,68320,/opt/homebrew/bin/node server.js
2026-08-16T13:53:29+0700,83717,3.3,0.4,68512,/opt/homebrew/bin/node server.js
2026-08-16T13:53:30+0700,83717,4.3,0.4,68512,/opt/homebrew/bin/node server.js
2026-08-16T13:53:31+0700,83717,2.7,0.4,65776,/opt/homebrew/bin/node server.js
2026-08-16T13:53:32+0700,83717,3.2,0.4,68240,/opt/homebrew/bin/node server.js
2026-08-16T13:53:33+0700,83717,3.2,0.3,56480,/opt/homebrew/bin/node server.js
2026-08-16T13:53:34+0700,83717,2.1,0.3,54448,/opt/homebrew/bin/node server.js
2026-08-16T13:53:35+0700,83717,2.1,0.3,57936,/opt/homebrew/bin/node server.js
2026-08-16T13:53:36+0700,83717,2.3,0.3,57616,/opt/homebrew/bin/node server.js
2026-08-16T13:53:37+0700,83717,5.8,0.3,45648,/opt/homebrew/bin/node server.js
2026-08-16T13:53:38+0700,83717,3.7,0.3,57920,/opt/homebrew/bin/node server.js
2026-08-16T13:53:40+0700,83717,4.1,0.4,62128,/opt/homebrew/bin/node server.js
2026-08-16T13:53:41+0700,83717,6.5,0.4,68512,/opt/homebrew/bin/node server.js
2026-08-16T13:53:42+0700,83717,5.2,0.4,66976,/opt/homebrew/bin/node server.js
2026-08-16T13:53:43+0700,83717,3.3,0.3,56112,/opt/homebrew/bin/node server.js
